Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),,Amazon EC2,0,1208.29,14499.48,USD,"Operating system (Linux), Quantity (8), Pricing strategy (Standard Reserved Instances 1 Year No UpFront), Storage amount (100 GB), Instance type (m6g.2xlarge)"
My Estimate,US East (Ohio),,Amazon Elastic Block Store (EBS),0,315.9,3790.80,USD,"Number of instances (8), Average duration each instance runs (730 hours per month), Storage amount (200 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
My Estimate,US East (Ohio),,Amazon RDS for MySQL,0,4571.316,54855.79,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (4), Instance type (db.m6g.4xlarge), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr No Upfront)"
My Estimate,US East (Ohio),,S3 Standard,0,23,276.00,USD,S3 Standard storage (1000 GB per month)
My Estimate,US East (Ohio),,Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month)"
My Estimate,US East (Ohio),VPC,Amazon Virtual Private Cloud (VPC),0,55.12,661.44,USD,Number of NAT Gateways (1)
My Estimate,AWS GovCloud (US-West),,Amazon WorkSpaces,0,34.8,417.60,USD,"Operating system (Linux), License (None), Bundle type (Standard (2 vCPU, 4GB RAM)), Root volume (80 GB), User volume (10 GB), Number of WorkSpaces (1)"
My Estimate,US East (Ohio),,Application Load Balancer,0,237.25,2847.00,USD,Number of Application Load Balancers (2)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
