Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),,Amazon EC2,0,9106.3,109275.60,USD,"Operating system (Linux), Quantity (8), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage amount (100 GB), Instance type (m6g.16xlarge)"
My Estimate,US East (Ohio),,Amazon Elastic Block Store (EBS),0,731.7,8780.40,USD,"Number of instances (8), Average duration each instance runs (730 hours per month), Storage amount (497 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
My Estimate,US East (Ohio),,S3 Standard,0,23,276.00,USD,S3 Standard storage (1000 GB per month)
My Estimate,US East (Ohio),,Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month)"
My Estimate,US East (Ohio),VPC,Amazon Virtual Private Cloud (VPC),0,55.12,661.44,USD,Number of NAT Gateways (1)
My Estimate,AWS GovCloud (US-West),,Amazon WorkSpaces,0,34.8,417.60,USD,"Operating system (Linux), License (None), Bundle type (Standard (2 vCPU, 4GB RAM)), Root volume (80 GB), User volume (10 GB), Number of WorkSpaces (1)"
My Estimate,US East (Ohio),,Application Load Balancer,0,237.25,2847.00,USD,Number of Application Load Balancers (2)
My Estimate,US East (Ohio),,Amazon Aurora MySQL-Compatible,0,8954.6,107455.20,USD,"Change records per statement (0.38), Nodes (4), Instance Type (db.r4.8xlarge), Instance Family (Memory optimized), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (No Upfront), Storage amount (500 GB), Additional backup storage (100 GB)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
